Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2023-03-24,Daddy Day Care,2003,https://boxd.it/41x4Bd,3,Yes,,2023-02-04
2023-03-24,The Menu,2022,https://boxd.it/41xcQF,5,,,2023-02-09
2023-03-24,Moonfall,2022,https://boxd.it/41xmGF,4.5,,,2023-02-13
2023-03-24,Primer,2004,https://boxd.it/41xszZ,4,,,2023-02-14
2023-03-19,The Wolf of Wall Street,2013,https://boxd.it/401rd1,5,Yes,,2023-02-18
2023-03-23,The Hangover Part III,2013,https://boxd.it/41b7YF,1.5,,,2023-03-04
2023-03-23,Last Seen Alive,2022,https://boxd.it/41b5gV,2,,,2023-03-08
2023-03-23,Women Talking,2022,https://boxd.it/41agnV,4.5,,,2023-03-11
2023-03-23,Chernobyl,2019,https://boxd.it/41bhwV,5,,,2023-03-16
2023-03-19,Last Night in Soho,2021,https://boxd.it/405z2t,4,,,2023-03-17
2023-03-19,Goodbye,2022,https://boxd.it/40en0X,4,,,2023-03-18
2023-03-21,Colossal,2016,https://boxd.it/40PdUb,1.5,,,2023-03-20
2023-03-22,Rocky II,1979,https://boxd.it/40Tgjv,5,,,2023-03-21
2023-03-27,Pathaan,2023,https://boxd.it/42qGKd,1.5,,,2023-03-26
2023-04-01,Rocky III,1982,https://boxd.it/43wGJZ,3.5,,,2023-03-30
2023-04-01,Varudu Kaavalenu,2021,https://boxd.it/43EOWj,1,,,2023-03-31
2023-05-02,The Sound of Music,1965,https://boxd.it/4ca91x,5,,,2023-04-01
2023-04-10,M3GAN,2022,https://boxd.it/464dHB,3.5,,,2023-04-05
2023-04-10,Marcel the Shell with Shoes On,2021,https://boxd.it/465eId,4,,,2023-04-05
2023-04-10,Beast,2022,https://boxd.it/463Yo5,4,,,2023-04-08
2023-04-10,Kimi,2022,https://boxd.it/4645NB,4.5,,,2023-04-08
2023-04-16,Rocky IV,1985,https://boxd.it/47HPbF,3.5,,,2023-04-14
2023-04-21,Missing,2023,https://boxd.it/491ZqJ,4.5,,,2023-04-19
2023-05-02,The Curious Case of Benjamin Button,2008,https://boxd.it/4caljN,3,,,2023-04-21
2023-05-01,The Lost City,2022,https://boxd.it/4bN2Vn,3,,,2023-04-29
2023-05-05,Balagam,2023,https://boxd.it/4cZQ3j,3,,,2023-05-04
2023-05-06,Rocky V,1990,https://boxd.it/4dcOAh,3,,,2023-05-04
2023-05-09,"Are You There God? It's Me, Margaret.",2023,https://boxd.it/4e5APx,4,,,2023-05-05
2023-05-07,Dune,2021,https://boxd.it/4dwofx,5,,,2023-05-06
2023-05-13,Galaxy Quest,1999,https://boxd.it/4eTC1J,5,,,2023-05-11
2023-05-15,Austin Powers: International Man of Mystery,1997,https://boxd.it/4fkPQz,3,,,2023-05-12
2023-05-15,Somebody I Used to Know,2023,https://boxd.it/4fkSoX,1.5,,,2023-05-13
2023-05-19,Side Effects,2013,https://boxd.it/4gq3WP,3.5,,,2023-05-14
2023-05-20,Chip 'n Dale: Rescue Rangers,2022,https://boxd.it/4gDdH7,2.5,,,2023-05-14
2023-05-21,The Kerala Story,2023,https://boxd.it/4gKRIt,4,,,2023-05-18
2023-05-23,Ant-Man and the Wasp: Quantumania,2023,https://boxd.it/4hmVKT,1,,,2023-05-19
2023-05-23,Werewolf by Night,2022,https://boxd.it/4hunON,4,,,2023-05-21
2023-05-24,Pitch Perfect,2012,https://boxd.it/4hyeQt,4.5,,,2023-05-21
2023-05-24,A Man Called Otto,2022,https://boxd.it/4hM3xj,4,,,2023-05-21
2023-05-24,Till,2022,https://boxd.it/4hM8rv,5,,,2023-05-23
2023-05-27,The Fabelmans,2022,https://boxd.it/4igdSh,3.5,,,2023-05-25
2023-05-28,TÁR,2022,https://boxd.it/4iBhed,2.5,,,2023-05-25
2023-05-28,Puss in Boots: The Last Wish,2022,https://boxd.it/4iBtc9,4.5,,,2023-05-25
2023-05-29,The Grand Budapest Hotel,2014,https://boxd.it/4iTst5,4.5,,,2023-05-28
2023-05-30,Magic Mike,2012,https://boxd.it/4j3qMp,2,,,2023-05-29
2023-06-01,The Black Phone,2021,https://boxd.it/4jxBfr,4,,,2023-05-29
2023-06-02,Violent Night,2022,https://boxd.it/4jVLnX,1,,,2023-06-01
2023-06-07,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/4lnBnj,5,,,2023-06-02
2023-06-09,Three Thousand Years of Longing,2022,https://boxd.it/4lNcCl,3.5,,,2023-06-03
2023-06-09,Austin Powers: The Spy Who Shagged Me,1999,https://boxd.it/4lRlOt,2,,,2023-06-05
2023-06-10,Pitch Perfect 2,2015,https://boxd.it/4lZPxN,3.5,,,2023-06-08
