Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-05-08,2024 Films Ranked,,https://boxd.it/vohBc,

Position,Name,Year,URL,Description
1,Challengers,2024,https://boxd.it/zld0,
2,Dìdi (弟弟),2024,https://boxd.it/HQOW,
3,Dune: Part Two,2024,https://boxd.it/pUfA,
4,Civil War,2024,https://boxd.it/z1jW,
5,Lucky Baskhar,2024,https://boxd.it/L79s,
6,Juror #2,2024,https://boxd.it/FRwU,
7,Inside Out 2,2024,https://boxd.it/CFrC,
8,Fly Me to the Moon,2024,https://boxd.it/A7Xg,
9,A Quiet Place: Day One,2024,https://boxd.it/sDAi,
10,Wolfs,2024,https://boxd.it/x6zG,
11,Fighter,2024,https://boxd.it/tvnM,
12,Sikandar Ka Muqaddar,2024,https://boxd.it/LHeI,
13,Hanu-Man,2024,https://boxd.it/wNZ6,
14,Anora,2024,https://boxd.it/Egcw,
15,Love Lies Bleeding,2024,https://boxd.it/zN4q,
16,Wicked,2024,https://boxd.it/e8ME,
17,Furiosa: A Mad Max Saga,2024,https://boxd.it/tABk,
18,Carry-On,2024,https://boxd.it/C0B2,
19,Amaran,2024,https://boxd.it/yWSs,
20,A Different Man,2024,https://boxd.it/BoEC,
21,Deadpool & Wolverine,2024,https://boxd.it/jq8s,
22,Article 370,2024,https://boxd.it/KRUC,
23,The Substance,2024,https://boxd.it/zanS,
24,Kalki 2898-AD,2024,https://boxd.it/uaUM,
25,Blitz,2024,https://boxd.it/xR8i,
26,The Fall Guy,2024,https://boxd.it/s0Bm,
27,Flow,2024,https://boxd.it/v1Ei,
28,Here,2024,https://boxd.it/zscS,
29,Gladiator II,2024,https://boxd.it/kqQQ,
30,Crew,2024,https://boxd.it/DA96,
31,Twisters,2024,https://boxd.it/qV7a,
32,Stree 2,2024,https://boxd.it/G5Cs,
33,Babygirl,2024,https://boxd.it/Fvai,
34,Saturday Night,2024,https://boxd.it/Gpfo,
35,The Instigators,2024,https://boxd.it/E4jA,
36,Conclave,2024,https://boxd.it/AO8q,
37,Heretic,2024,https://boxd.it/H1lY,
38,Trap,2024,https://boxd.it/D4nK,
39,Beverly Hills Cop: Axel F,2024,https://boxd.it/8Bvq,
40,Mean Girls,2024,https://boxd.it/p6nO,
41,Argylle,2024,https://boxd.it/w1kk,
42,Hot Frosty,2024,https://boxd.it/NeBM,
43,Our Little Secret,2024,https://boxd.it/KVeA,
44,The Union,2024,https://boxd.it/qkD4,
45,IF,2024,https://boxd.it/nJwG,
46,Monkey Man,2024,https://boxd.it/kvsO,
47,Irish Wish,2024,https://boxd.it/CxHM,
48,Saving Bikini Bottom: The Sandy Cheeks Movie,2024,https://boxd.it/vmgQ,
49,The Family Star,2024,https://boxd.it/H90k,
50,Madame Web,2024,https://boxd.it/nwD0,
51,Joker: Folie à Deux,2024,https://boxd.it/xBoE,
52,Emilia Pérez,2024,https://boxd.it/AP3G,
