Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-10-19,Overrated,,https://boxd.it/pMH2m,Films that were given way more credit than I think they deserve

Position,Name,Year,URL,Description
1,La La Land,2016,https://boxd.it/a5fa,
2,Lights Out,2016,https://boxd.it/bAHc,
3,Magic Mike,2012,https://boxd.it/2HvY,
4,Colossal,2016,https://boxd.it/biZi,
5,Jawan,2023,https://boxd.it/wVDs,
6,Knock at the Cabin,2023,https://boxd.it/npL2,
7,Pathaan,2023,https://boxd.it/wGeC,
8,Call Me by Your Name,2017,https://boxd.it/dYmm,
9,Cocaine Bear,2023,https://boxd.it/ugw2,
10,Rocky Aur Rani Kii Prem Kahaani,2023,https://boxd.it/w0wa,
11,Violent Night,2022,https://boxd.it/xXBA,
12,Triangle of Sadness,2022,https://boxd.it/hXlq,
13,Animal,2023,https://boxd.it/toAu,
14,Avatar: The Way of Water,2022,https://boxd.it/2E2E,
15,Big Hero 6,2014,https://boxd.it/5rje,
16,Borat Subsequent Moviefilm,2020,https://boxd.it/rNS0,
17,The Disaster Artist,2017,https://boxd.it/cTqc,
18,Doctor Strange in the Multiverse of Madness,2022,https://boxd.it/gaTc,
19,Free Guy,2021,https://boxd.it/k8dm,
20,Get Out,2017,https://boxd.it/eOCm,
21,Gravity,2013,https://boxd.it/GZY,
22,The Incredibles,2004,https://boxd.it/1XLm,
23,Pacific Rim,2013,https://boxd.it/2cB2,
24,Pokémon Detective Pikachu,2019,https://boxd.it/fVA0,
25,Sanju,2018,https://boxd.it/hTZm,
26,Signs,2002,https://boxd.it/26t2,
27,Spy,2015,https://boxd.it/71Ks,
28,The Suicide Squad,2021,https://boxd.it/fw6O,
29,Wonder Woman,2017,https://boxd.it/9roG,
30,Barfi!,2012,https://boxd.it/4aL4,
31,Don't Look Up,2021,https://boxd.it/o0Hc,
32,Blue Beetle,2023,https://boxd.it/kJLq,
33,Baby Driver,2017,https://boxd.it/bhF2,
34,Monkey Man,2024,https://boxd.it/kvsO,
35,Safety Not Guaranteed,2012,https://boxd.it/2Y3M,
36,Hit Man,2023,https://boxd.it/ANB2,
37,Carol,2015,https://boxd.it/7DPK,
38,Fan,2016,https://boxd.it/d8xC,
39,Emilia Pérez,2024,https://boxd.it/AP3G,
40,Million Dollar Baby,2004,https://boxd.it/2bdI,
41,Children of Men,2006,https://boxd.it/1Y2i,
42,Wedding Crashers,2005,https://boxd.it/1Yte,
