Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-06-19,Pixar Ranked,,https://boxd.it/wn3SA,

Position,Name,Year,URL,Description
1,Inside Out,2015,https://boxd.it/4KHC,
2,Toy Story 3,2010,https://boxd.it/1WRe,
3,WALL·E,2008,https://boxd.it/1VEo,
4,Finding Nemo,2003,https://boxd.it/72i,
5,"Monsters, Inc.",2001,https://boxd.it/2a46,
6,Toy Story 4,2019,https://boxd.it/9ALu,
7,Coco,2017,https://boxd.it/bYJQ,
8,Cars,2006,https://boxd.it/29ho,
9,Ratatouille,2007,https://boxd.it/27ww,
10,Toy Story,1995,https://boxd.it/29qA,
11,Inside Out 2,2024,https://boxd.it/CFrC,
12,Elemental,2023,https://boxd.it/ASiE,
13,Toy Story 2,1999,https://boxd.it/29qq,
14,Onward,2020,https://boxd.it/io92,
15,Lightyear,2022,https://boxd.it/qV1G,
16,Finding Dory,2016,https://boxd.it/4aAA,
17,The Good Dinosaur,2015,https://boxd.it/3AD4,
18,Up,2009,https://boxd.it/1OEc,
19,Soul,2020,https://boxd.it/ioLA,
20,The Incredibles,2004,https://boxd.it/1XLm,
21,Cars 2,2011,https://boxd.it/H4Y,
22,Turning Red,2022,https://boxd.it/ipkq,
23,A Bug's Life,1998,https://boxd.it/1Yyy,
24,Brave,2012,https://boxd.it/bVG,
25,Monsters University,2013,https://boxd.it/bQm,
26,Cars 3,2017,https://boxd.it/7IPq,
27,Luca,2021,https://boxd.it/ipjC,
28,Incredibles 2,2018,https://boxd.it/7IPg,
