Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-11-18,Remake Requests,,https://boxd.it/qkqfw,"Films that have a great concept but were executed terribly. These are the films I’d love to see remade with a new storyline, new tone, new filmmakers, or less studio interference."

Position,Name,Year,URL,Description
1,Colossal,2016,https://boxd.it/biZi,
2,Cowboys & Aliens,2011,https://boxd.it/F2G,
3,Freaky,2020,https://boxd.it/ka42,
4,Hypnotic,2023,https://boxd.it/jwXw,
5,Kindergarten Cop,1990,https://boxd.it/29dm,
6,Lights Out,2016,https://boxd.it/bAHc,
7,Mast Mein Rehne Ka,2023,https://boxd.it/JtVk,
8,Memory,2022,https://boxd.it/uPj8,
9,Old,2021,https://boxd.it/npKI,
10,Three Thousand Years of Longing,2022,https://boxd.it/kmoy,
11,Violent Night,2022,https://boxd.it/xXBA,
12,Hit Man,2023,https://boxd.it/ANB2,
13,The Bling Ring,2013,https://boxd.it/3lPY,
14,Black Mirror: Hotel Reverie,2025,https://boxd.it/U1V4,
