Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-05-23,Spielberg Ranked,,https://boxd.it/vIiJm,

Position,Name,Year,URL,Description
1,Jurassic Park,1993,https://boxd.it/2aA2,
2,Schindler's List,1993,https://boxd.it/2aq2,
3,Saving Private Ryan,1998,https://boxd.it/29ro,
4,Hook,1991,https://boxd.it/29nQ,
5,Indiana Jones and the Last Crusade,1989,https://boxd.it/2baO,
6,Jaws,1975,https://boxd.it/2a5e,
7,The Lost World: Jurassic Park,1997,https://boxd.it/2azS,
8,Minority Report,2002,https://boxd.it/2aWi,
9,E.T. the Extra-Terrestrial,1982,https://boxd.it/2a1G,
10,Ready Player One,2018,https://boxd.it/aZes,
11,Raiders of the Lost Ark,1981,https://boxd.it/2bbs,
12,War of the Worlds,2005,https://boxd.it/2bde,
13,Indiana Jones and the Kingdom of the Crystal Skull,2008,https://boxd.it/2aR8,
14,Catch Me If You Can,2002,https://boxd.it/29VS,
15,The Fabelmans,2022,https://boxd.it/ugoM,
16,Indiana Jones and the Temple of Doom,1984,https://boxd.it/2bb8,
17,Lincoln,2012,https://boxd.it/2n2s,
18,The Terminal,2004,https://boxd.it/2a2O,
19,The Adventures of Tintin,2011,https://boxd.it/1Irc,
20,West Side Story,2021,https://boxd.it/iwt0,
21,The BFG,2016,https://boxd.it/81cs,
