Date,Name,Year,Letterboxd URI,Rating
2023-03-12,Parasite,2019,https://boxd.it/hTha,5
2023-03-12,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,5
2023-03-12,Knives Out,2019,https://boxd.it/jWEA,5
2023-03-12,Joker,2019,https://boxd.it/h4cS,5
2023-03-12,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,5
2023-03-12,Whiplash,2014,https://boxd.it/7bQA,5
2023-03-12,Inception,2010,https://boxd.it/1skk,5
2023-03-12,Spider-Man: No Way Home,2021,https://boxd.it/nwRw,5
2023-03-12,The Dark Knight,2008,https://boxd.it/2b0k,5
2023-03-12,La La Land,2016,https://boxd.it/a5fa,3
2023-03-12,The Wolf of Wall Street,2013,https://boxd.it/3C1m,5
2023-03-12,Gone Girl,2014,https://boxd.it/6hQu,5
2023-03-12,Avengers: Infinity War,2018,https://boxd.it/9vEe,5
2023-03-12,The Menu,2022,https://boxd.it/lScm,5
2023-03-12,Inglourious Basterds,2009,https://boxd.it/1JzG,5
2023-03-12,Avengers: Endgame,2019,https://boxd.it/9vE4,5
2023-03-12,The Social Network,2010,https://boxd.it/17ue,5
2023-03-12,Jojo Rabbit,2019,https://boxd.it/iEBG,5
2023-03-12,Django Unchained,2012,https://boxd.it/2cCk,5
2023-03-12,Forrest Gump,1994,https://boxd.it/728,5
2023-03-12,Guardians of the Galaxy,2014,https://boxd.it/3VH2,5
2023-03-19,Last Night in Soho,2021,https://boxd.it/lbJC,4
2023-03-19,F9,2021,https://boxd.it/dqsU,1
2023-03-19,The Hangover Part II,2011,https://boxd.it/PZI,1
2023-03-19,El Camino: A Breaking Bad Movie,2019,https://boxd.it/kv0q,5
2023-03-20,Goodbye,2022,https://boxd.it/uOzu,4
2023-03-22,Colossal,2016,https://boxd.it/biZi,1.5
2023-03-22,Rocky II,1979,https://boxd.it/28Ua,5
2023-03-23,Women Talking,2022,https://boxd.it/tdq4,4.5
2023-03-23,Last Seen Alive,2022,https://boxd.it/Aj8u,2
2023-03-23,The Hangover Part III,2013,https://boxd.it/3GNY,1.5
2023-03-23,Chernobyl,2019,https://boxd.it/mkbG,5
