Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2023-03-19,The Wolf of Wall Street,2013,https://boxd.it/401rd1,5,Yes,"One of my favorite movies of all time. Admittedly a lot of it is with the circumstances of my first viewing. 

I watched this for the first time in theaters in December 2013, just rewatched it again. My first viewing was when I just started college (and was a sucker for anything raunchy). This hit me a certain way because it was not only raunchy but also meticulously crafted. A super long runtime, but always engrossing. Still can’t believe a lot of the scenes actually happened in real life. Leo deserved the Oscar for this.",,2023-02-18
2023-03-19,Forrest Gump,1994,https://boxd.it/401wWv,5,,"This film always holds a special place in my heart. A great retelling of US history through a fascinating character. Groundbreaking visual effects for its time. Probably the first time I remember where visual effects were utilized smartly, rather than just for actiony explosions.",,
2023-03-19,Last Night in Soho,2021,https://boxd.it/405z2t,4,,"I’m a fan of all of Edgar Wright’s prior films - they have smart humor and meticulous editing. So I was very interested to see his next film in a very different genre. I love it when artists venture against type - the best example is writer Craig Mazin who started with movies like the Hangover sequels and then randomly gave us Chernobyl. Another cool example is Todd Philips who went from directing the Hangover movies to Joker (funny how both of these examples include the Hangover)

I was fully engrossed through the runtime of Last Night in Soho, due to 2 major things:
1) Unique visuals. The shots between Thomasin McKenzie and Anya Taylor-Joy’s characters were so meticulously edited. I’m glad Edgar Wright brought this signature into a different type of film. In addition, the pros and cons of the 1960s were visually captured vividly. 
2) Ellie (portrayed by Thomasin McKenzie) is a solid lead character. She comes with a rural innocence, a slightly haunting past, a fascination by the 1960s, and a dream for a future in fashion. We want her to be happy, but reality kicks in as she realizes that demeaning and immoral people exist and may push her away from her happy future.

As for cons, in hindsight certain plot points and choices had inconsistencies. They didn’t make me hate the film in the end, but I wish more thought was put into connecting things together. 

Still, I was on board for the ride. I also always have a soft spot for films that don’t fit into a singular genre. This is not a cookie cutter film by any means. Even though I didn’t agree with every choice, I could tell that thought was put into each frame and I have to commend that.",,2023-03-17
2023-03-19,Goodbye,2022,https://boxd.it/40en0X,4,,"Heartwarming, with a couple humorous scenes. A nice explanation of what makes up the funeral process in Hindu culture. I’m a fan of anything Amitabh Bachchan does - I love his range of film involvement. 

The film had some scenes that dragged too long though. A perfect version of this film would be 45 minutes shorter.",,2023-03-18
2023-03-21,Colossal,2016,https://boxd.it/40PdUb,1.5,,"I always look forward to films with a unique premise. And I typically rate those films higher than normal because uniqueness typically adds to how much I appreciate a film. Unfortunately, I can’t do that for Colossal. 

I love the premise of this movie. An imperfect individual is randomly in control of a giant creature in Seoul. That has so much comedy potential. And I saw that comedy potential in every scene that Anne Hathaway + company acted fun and silly together. 

But, this film decided to try so much more and it just ended up messy. A subplot where Anne Hathaway’s character is kicked out and her ex is trying to win her back. Jason Sudeikis having a complete 180 degree in character choices for no reason. And a final resolution that was so ludicrous that I couldn’t help but facepalm. All this took away from the uniqueness that I wanted to appreciate so much.",,2023-03-20
2023-03-22,Rocky II,1979,https://boxd.it/40Tgjv,5,,"A sequel that I actually like more than the original!

I liked the original and definitely appreciate its impact on film, but I felt that some scenes weren’t as cleanly edited together as I wanted. 

Rocky II is stitched together perfectly in my opinion. From the start, I could tell this sequel was actually justified. Rocky Balboa and Apollo Creed enter Rocky II in a way that makes sense. Rocky is suddenly famous and doesn’t know how to navigate the new fame. Apollo didn’t expect a tough fight and feels like he lost even though he technically won. I’m thankful we got a chance to view the aftermath of the fight from the prior film - it’s a story I actually cared about viewing. 

Rocky’s journey back into the ring was fascinating to me. At first it’s great - he buys expensive things without much thought. But then the sponsorships and endorsements just don’t sit well with him. It doesn’t feel genuine to him, and we agree as a viewer of the film. Even if he could cruise for the rest of his life with the financial fame from the original fight, he is first and foremost a boxer. He tries going back into boxing, but his wife’s initial disapproval hinders him from giving it his all. He then drops everything to care for his wife during a pregnancy complication. Once she is better and approves of the return to boxing, he is able to give it his all. 

The final fight was a thrilling show. I was so invested that It felt like I was watching a real fight. It all went naturally how you’d expect based on how you know the characters. Rocky is still the underdog and Apollo will not play easy this time around. Ultimately, the one with the better mental game won. 

Finally, this made me really appreciate Sylvester Stallone. Today he’s sorta known as just a macho guy making typical macho films. Two films in, the Rocky franchise has more depth than I expected. And in Rocky II, he even directed it (along with writing it and acting as the main character). I look forward to check out the rest of his work, I bet there are more hidden gems out there.",,2023-03-21
2023-03-23,Women Talking,2022,https://boxd.it/41agnV,4.5,,"This reminded me a lot like Aaron Sorkin’s screenplay work. Snappy dialogue elevated this film to a thrilling level. Definitely worthy of the Oscar for adapted screenplay. 

If a similar topic of conversation occurred today, we’d likely see similar points brought up. This made it very investing to see how the film would ultimately conclude.",,2023-03-11
2023-03-23,Last Seen Alive,2022,https://boxd.it/41b5gV,2,,"A time pass thriller. Didn’t really do anything wrong or bad per se, it was just strongly normal. There are many other better thrillers out there.",,2023-03-08
2023-03-23,The Hangover Part III,2013,https://boxd.it/41b7YF,1.5,,"This trilogy should’ve just been a one and done movie. Clearly part 2 and part 3 only exist to make money. 

I slightly prefer part 3 over part 2, mainly because I appreciated that they tried a different genre with the same characters. I would like to see more franchises that can take risks with varied genres in the same franchise. Unfortunately, not much was done with the risk for part 3. Most jokes didn’t land, and I really couldn’t stand Ken Jeong’s character. Frankly, I was just waiting for the movie to end.",,2023-03-04
2023-03-23,Chernobyl,2019,https://boxd.it/41bhwV,5,,"An absolutely thrilling ride. 

There are many disaster films out there. What set this mini-series apart was what happens when a disaster takes place in a socialist regime like the Soviet Union.

A normal disaster film generally displays to us from the start why a disaster happened, and every character is focused on curbing the effects of the disaster. In Chernobyl, most of the first half was leaders downplaying the disaster, and the political backlash against people trying to curb the effects. It emphasizes the importance of our political leaders doing their job if, god-forbid, a disaster were to occur. The heroic work we see is further elevated, knowing that if they did survive they could end up getting punished by political leaders.",,2023-03-16
2023-03-24,Daddy Day Care,2003,https://boxd.it/41x4Bd,3,Yes,"Revisited a childhood classic of mine, and it still holds up. My second favorite childhood memory of Eddie Murphy (after Shrek).",,2023-02-04
2023-03-24,The Menu,2022,https://boxd.it/41xcQF,5,,"What a unique premise!

Yes, there are social commentary connections you can make with this film. I frankly just liked this on the surface level of an unpredictable plot. I had no idea what direction the film was going, and I was all for it. 

I never thought it would be possible for Ralph Fiennes to play a character scarier than Voldemort. Who would’ve expected that not only would that occur, but it would be as a chef…

This film is further elevated with smart humorous dialogue and stellar performances across the board. 

I still can’t get over how unique of a film this is. There is no single genre that can describe this film, and I doubt we’ll ever see a film similar to this again.",,2023-02-09
2023-03-24,Moonfall,2022,https://boxd.it/41xmGF,4.5,,"Is this a groundbreaking piece of art? No. Do I care? Also no!

The Room is typically cited as the best “so bad, it’s good” film. I get the charm of The Room, but I never really felt a strong need to revisit it for fun. 

I 100% would host an annual movie night to watch Moonfall. The ridiculousness levels perfectly escalate through the runtime. Without spoiling anything, the concept of the moon crashing towards Earth is frankly one of the more normal parts of this film. 

To anyone giving this film a bad review: did you really expect perfection or though-provoking art going into this? If so, you watched this film very wrong.",,2023-02-13
